year,match_time,stage,venue,home_team,away_team,attendance,referee,score
1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,France,Mexico,4444.0,LOMBARDI Domingo (URU),4-1
1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,USA,Belgium,18346.0,MACIAS Jose (ARG),3-0
1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Yugoslavia,Brazil,24059.0,TEJADA Anibal (URU),2-1
1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Romania,Peru,2549.0,WARNKEN Alberto (CHI),3-1
1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Argentina,France,23409.0,REGO Gilberto (BRA),1-0
1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Chile,Mexico,9249.0,CRISTOPHE Henry (BEL),3-0
1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Yugoslavia,Bolivia,18306.0,MATEUCCI Francisco (URU),4-0
1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,USA,Paraguay,18306.0,MACIAS Jose (ARG),3-0
1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Uruguay,Peru,57735.0,LANGENUS Jean (BEL),1-0
1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Chile,France,2000.0,TEJADA Anibal (URU),1-0
1930,19 Jul 1930 - 15:00 ,Group 1,Estadio Centenario,Argentina,Mexico,42100.0,SAUCEDO Ulises (BOL),6-3
1930,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Brazil,Bolivia,25466.0,BALWAY Thomas (FRA),4-0
1930,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Paraguay,Belgium,12000.0,VALLARINO Ricardo (URU),1-0
1930,21 Jul 1930 - 14:50 ,Group 3,Estadio Centenario,Uruguay,Romania,70022.0,REGO Gilberto (BRA),4-0
1930,22 Jul 1930 - 14:45 ,Group 1,Estadio Centenario,Argentina,Chile,41459.0,LANGENUS Jean (BEL),3-1
1930,26 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Argentina,USA,72886.0,LANGENUS Jean (BEL),6-1
1930,27 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Uruguay,Yugoslavia,79867.0,REGO Gilberto (BRA),6-1
1930,30 Jul 1930 - 14:15 ,Final,Estadio Centenario,Uruguay,Argentina,68346.0,LANGENUS Jean (BEL),4-2
1934,01 Jun 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Italy,Spain,43000.0,MERCET Rene (SUI),1-0
1934,03 Jun 1934 - 16:30 ,Semi-finals,Nazionale PNF,Czechoslovakia,Germany,15000.0,BARLASSINA Rinaldo (ITA),3-1
1934,03 Jun 1934 - 16:30 ,Semi-finals,San Siro,Italy,Austria,35000.0,EKLIND Ivan (SWE),1-0
1934,07 Jun 1934 - 18:00 ,Match for third place,Giorgio Ascarelli,Germany,Austria,7000.0,CARRARO Albino (ITA),3-2
1934,10 Jun 1934 - 17:30 ,Final,Nazionale PNF,Italy,Czechoslovakia,55000.0,EKLIND Ivan (SWE),2-1
